id,blood_type,latitude,longitude,last_donation,phone
44,A+,20.186093131679982,85.60733069356336,2025-02-08,+919210380241
45,AB-,22.118127042638466,84.08306227592519,2025-02-12,+919383723672
46,AB-,20.81507562693173,85.19465195152324,2024-05-30,+919103062029
47,A-,19.204105191094587,83.38142250573296,2024-09-26,+918101205318
48,O-,18.371244658147216,82.1773359760909,2024-08-13,+919204168028
49,O-,20.17380802472228,85.6445284508106,2024-11-03,+918725495448
50,O-,18.32130787028405,82.12243809606683,2024-06-04,+919901047662
51,AB+,20.16362113322549,85.60258626180601,2024-07-21,+918932299465
52,A+,19.306022104854776,84.8031977537582,2025-02-24,+919259975084
53,O+,22.094738989349402,84.01354053123498,2025-03-13,+917757044880
54,B-,20.69112596449144,85.60861048852746,2025-03-23,+917984175462
55,AB+,20.680245767915434,83.51816128060382,2024-11-21,+917363588635
56,AB+,21.4771890600507,83.94018688232303,2024-12-13,+917240412202
57,B+,20.328176164861766,85.83709811296272,2024-11-09,+917447963995
58,A-,19.149921054998362,83.3837458902847,2024-08-22,+919458245833
59,A+,19.83166473373602,85.80056785959631,2024-06-28,+919857981207
60,B-,21.497281428156395,84.01319314662557,2024-06-05,+917658034937
61,B-,21.485075413474988,86.91782896315715,2024-11-05,+918783073082
62,A+,20.464121949299408,85.8699033365039,2024-11-28,+917945795170
63,AB-,22.157384730826383,84.0553458576497,2024-12-01,+917829094827
64,AB+,21.462236925316354,84.02215386977197,2025-02-02,+919202768486
65,O-,20.662871235984678,85.60524869130396,2024-07-07,+917947195990
66,O+,20.8447783525982,85.12349434780035,2024-06-24,+917781184690
67,O-,19.174489233541568,83.38517535435577,2024-08-28,+917652968796
68,B+,20.3345132666465,85.83479199539033,2024-09-21,+917487417291
69,B-,20.238752941489334,86.15866746015898,2024-09-21,+917785836794
70,A+,18.764747582481903,82.75042593817156,2024-09-10,+917876303656
71,A-,21.81094714544022,83.96568920873854,2025-02-03,+917696857124
72,O-,20.693388087008948,85.58329937771127,2024-11-16,+917233032100
73,AB-,22.252625216467134,84.81924574880341,2024-05-19,+918288414005
74,B+,18.844215422998428,82.72619980420822,2024-06-16,+918778740745
75,A+,20.805074438442304,85.19239288907613,2024-11-27,+917498217134
76,AB-,19.839492961127274,85.84451713765928,2024-07-02,+918207836083
77,AB+,20.216761922311225,86.1840260069967,2024-10-03,+919272365270
78,O-,20.150137442289896,85.63677138106092,2024-12-29,+919633960145
79,O+,19.143835281324037,83.45527884139305,2024-05-26,+919290034622
80,AB-,21.42485034277449,84.02504431286648,2024-06-02,+917778790026
81,A+,20.1537538285342,85.60270283173,2024-08-11,+918739139361
82,B-,20.41567561359378,85.84017259040077,2024-11-25,+917225230019
83,A+,20.19694296650415,85.57891854520608,2025-03-11,+918733016435
84,A-,20.133110492203077,85.08906602069904,2024-07-20,+917294283294
85,AB+,21.309201284515456,83.57946147777355,2024-10-14,+918830492299
86,B-,20.30545874346124,85.8654581008676,2025-03-23,+917522873543
87,O-,21.47301606488006,83.9880657681384,2025-03-24,+918159665131
88,A-,20.651144976198612,85.60925243060287,2024-07-14,+919871395609
89,A-,21.879370643150402,84.04088352222588,2024-12-30,+918554946765
90,AB-,20.469535705059453,85.88806681830367,2025-03-05,+919404312557
91,O-,20.274207963150634,85.8396569587804,2024-07-15,+919336109482
92,A+,20.840714720103676,85.10184660990673,2024-06-28,+917286143687
93,B+,19.180111846041346,83.45455070864328,2025-02-16,+917961519331
94,B-,18.322608252669482,82.17447193354455,2024-11-22,+917174448965
95,B+,19.17681449185754,83.42579181352073,2024-07-01,+919133153944
96,B+,21.37078795115796,83.62732904099752,2025-01-01,+919579380705
97,AB+,22.06738794272981,84.03785256049687,2024-08-14,+917172109447
98,A-,20.219935940602536,86.18384425337577,2024-10-11,+919674502992
99,AB-,21.860636778321243,84.01823217557228,2024-10-22,+918954897316
100,AB+,21.453133311505038,84.00528262212103,2024-07-14,+918235827206
